GallonsPer100Miles,GallonsPer100MilesTo1981,MPG,Cylinders,Displacement100ci,Horsepower100,Weight1000lb,Seconds0to60,Year,Year70To81,Origin,Origin.Eq.1,Origin.Eq.2,Origin.Eq.3,Name
5.2,5.2,19.4,8,3.18,1.4,3.735,13.2,78,1,1,1,0,0,dodge diplomat
5.0,5.0,20.2,8,3.02,1.39,3.57,12.8,78,1,1,1,0,0,mercury monarch ghia
5.2,5.2,19.2,6,2.31,1.05,3.535,19.2,78,1,1,1,0,0,pontiac phoenix lj
4.9,4.9,20.5,6,2,0.95,3.155,18.2,78,1,1,1,0,0,chevrolet malibu
5.0,5.0,20.2,6,2,0.85,2.965,15.8,78,1,1,1,0,0,ford fairmont (auto)
4.0,4.0,25.1,4,1.4,0.88,2.72,15.4,78,1,1,1,0,0,ford fairmont (man)
4.9,4.9,20.5,6,2.25,1,3.43,17.2,78,1,1,1,0,0,plymouth volare
5.2,5.2,19.4,6,2.32,0.9,3.21,17.2,78,1,1,1,0,0,amc concord
4.9,4.9,20.6,6,2.31,1.05,3.38,15.8,78,1,1,1,0,0,buick century special
4.8,4.8,20.8,6,2,0.85,3.07,16.7,78,1,1,1,0,0,mercury zephyr
5.4,5.4,18.6,6,2.25,1.1,3.62,18.7,78,1,1,1,0,0,dodge aspen
5.5,5.5,18.1,6,2.58,1.2,3.41,15.1,78,1,1,1,0,0,amc concord d/l
5.2,5.2,19.2,8,3.05,1.45,3.425,13.2,78,1,1,1,0,0,chevrolet monte carlo landau
5.6,5.6,17.7,6,2.31,1.65,3.445,13.4,78,1,1,1,0,0,buick regal sport coupe (turbo)
5.5,5.5,18.1,8,3.02,1.39,3.205,11.2,78,1,1,1,0,0,ford futura
5.7,5.7,17.5,8,3.18,1.4,4.08,13.7,78,1,1,1,0,0,dodge magnum xe
3.3,3.3,30,4,0.98,0.68,2.155,16.5,78,1,1,1,0,0,chevrolet chevette
3.6,3.6,27.5,4,1.34,0.95,2.56,14.2,78,1,3,0,0,1,toyota corona
3.7,3.7,27.2,4,1.19,0.97,2.3,14.7,78,1,3,0,0,1,datsun 510
3.2,3.2,30.9,4,1.05,0.75,2.23,14.5,78,1,1,1,0,0,dodge omni
4.7,4.7,21.1,4,1.34,0.95,2.515,14.8,78,1,3,0,0,1,toyota celica gt liftback
4.3,4.3,23.2,4,1.56,1.05,2.745,16.7,78,1,1,1,0,0,plymouth sapporo
4.2,4.2,23.8,4,1.51,0.85,2.855,17.6,78,1,1,1,0,0,oldsmobile starfire sx
4.2,4.2,23.9,4,1.19,0.97,2.405,14.9,78,1,3,0,0,1,datsun 200-sx
4.9,4.9,20.3,5,1.31,1.03,2.83,15.9,78,1,2,0,1,0,audi 5000
5.9,5.9,17,6,1.63,1.25,3.14,13.6,78,1,2,0,1,0,volvo 264gl
4.6,4.6,21.6,4,1.21,1.15,2.795,15.7,78,1,2,0,1,0,saab 99gle
6.2,6.2,16.2,6,1.63,1.33,3.41,15.8,78,1,2,0,1,0,peugeot 604sl
3.2,3.2,31.5,4,0.89,0.71,1.99,14.9,78,1,2,0,1,0,volkswagen scirocco
3.4,3.4,29.5,4,0.98,0.68,2.135,16.6,78,1,3,0,0,1,honda accord lx
4.7,4.7,21.5,6,2.31,1.15,3.245,15.4,79,1,1,1,0,0,pontiac lemans v6
5.1,5.1,19.8,6,2,0.85,2.99,18.2,79,1,1,1,0,0,mercury zephyr 6
4.5,4.5,22.3,4,1.4,0.88,2.89,17.3,79,1,1,1,0,0,ford fairmont 4
5.0,5.0,20.2,6,2.32,0.9,3.265,18.2,79,1,1,1,0,0,amc concord dl 6
4.9,4.9,20.6,6,2.25,1.1,3.36,16.6,79,1,1,1,0,0,dodge aspen 6
5.9,5.9,17,8,3.05,1.3,3.84,15.4,79,1,1,1,0,0,chevrolet caprice classic
5.7,5.7,17.6,8,3.02,1.29,3.725,13.4,79,1,1,1,0,0,ford ltd landau
6.1,6.1,16.5,8,3.51,1.38,3.955,13.2,79,1,1,1,0,0,mercury grand marquis
5.5,5.5,18.2,8,3.18,1.35,3.83,15.2,79,1,1,1,0,0,dodge st. regis
5.9,5.9,16.9,8,3.5,1.55,4.36,14.9,79,1,1,1,0,0,buick estate wagon (sw)
6.5,6.5,15.5,8,3.51,1.42,4.054,14.3,79,1,1,1,0,0,ford country squire (sw)
5.2,5.2,19.2,8,2.67,1.25,3.605,15,79,1,1,1,0,0,chevrolet malibu classic (sw)
5.4,5.4,18.5,8,3.6,1.5,3.94,13,79,1,1,1,0,0,chrysler lebaron town @ country (sw)
3.1,3.1,31.9,4,0.89,0.71,1.925,14,79,1,2,0,1,0,vw rabbit custom
2.9,2.9,34.1,4,0.86,0.65,1.975,15.2,79,1,3,0,0,1,maxda glc deluxe
2.8,2.8,35.7,4,0.98,0.8,1.915,14.4,79,1,1,1,0,0,dodge colt hatchback custom
3.6,3.6,27.4,4,1.21,0.8,2.67,15,79,1,1,1,0,0,amc spirit dl
3.9,3.9,25.4,5,1.83,0.77,3.53,20.1,79,1,2,0,1,0,mercedes benz 300d
4.3,4.3,23,8,3.5,1.25,3.9,17.4,79,1,1,1,0,0,cadillac eldorado
3.7,3.7,27.2,4,1.41,0.71,3.19,24.8,79,1,2,0,1,0,peugeot 504
4.2,4.2,23.9,8,2.6,0.9,3.42,22.2,79,1,1,1,0,0,oldsmobile cutlass salon brougham
2.9,2.9,34.2,4,1.05,0.7,2.2,13.2,79,1,1,1,0,0,plymouth horizon
2.9,2.9,34.5,4,1.05,0.7,2.15,14.9,79,1,1,1,0,0,plymouth horizon tc3
3.1,3.1,31.8,4,0.85,0.65,2.02,19.2,79,1,3,0,0,1,datsun 210
2.7,2.7,37.3,4,0.91,0.69,2.13,14.7,79,1,2,0,1,0,fiat strada custom
3.5,3.5,28.4,4,1.51,0.9,2.67,16,79,1,1,1,0,0,buick skylark limited
3.5,3.5,28.8,6,1.73,1.15,2.595,11.3,79,1,1,1,0,0,chevrolet citation
3.7,3.7,26.8,6,1.73,1.15,2.7,12.9,79,1,1,1,0,0,oldsmobile omega brougham
3.0,3.0,33.5,4,1.51,0.9,2.556,13.2,79,1,1,1,0,0,pontiac phoenix
2.4,2.4,41.5,4,0.98,0.76,2.144,14.7,80,1,2,0,1,0,vw rabbit
2.6,2.6,38.1,4,0.89,0.6,1.968,18.8,80,1,3,0,0,1,toyota corolla tercel
3.1,3.1,32.1,4,0.98,0.7,2.12,15.5,80,1,1,1,0,0,chevrolet chevette
2.7,2.7,37.2,4,0.86,0.65,2.019,16.4,80,1,3,0,0,1,datsun 310
3.6,3.6,28,4,1.51,0.9,2.678,16.5,80,1,1,1,0,0,chevrolet citation
3.8,3.8,26.4,4,1.4,0.88,2.87,18.1,80,1,1,1,0,0,ford fairmont
4.1,4.1,24.3,4,1.51,0.9,3.003,20.1,80,1,1,1,0,0,amc concord
5.2,5.2,19.1,6,2.25,0.9,3.381,18.7,80,1,1,1,0,0,dodge aspen
2.9,2.9,34.3,4,0.97,0.78,2.188,15.8,80,1,2,0,1,0,audi 4000
3.4,3.4,29.8,4,1.34,0.9,2.711,15.5,80,1,3,0,0,1,toyota corona liftback
3.2,3.2,31.3,4,1.2,0.75,2.542,17.5,80,1,3,0,0,1,mazda 626
2.7,2.7,37,4,1.19,0.92,2.434,15,80,1,3,0,0,1,datsun 510 hatchback
3.1,3.1,32.2,4,1.08,0.75,2.265,15.2,80,1,3,0,0,1,toyota corolla
2.1,2.1,46.6,4,0.86,0.65,2.11,17.9,80,1,3,0,0,1,mazda glc
3.6,3.6,27.9,4,1.56,1.05,2.8,14.4,80,1,1,1,0,0,dodge colt
2.5,2.5,40.8,4,0.85,0.65,2.11,19.2,80,1,3,0,0,1,datsun 210
2.3,2.3,44.3,4,0.9,0.48,2.085,21.7,80,1,2,0,1,0,vw rabbit c (diesel)
2.3,2.3,43.4,4,0.9,0.48,2.335,23.7,80,1,2,0,1,0,vw dasher (diesel)
2.7,2.7,36.4,5,1.21,0.67,2.95,19.9,80,1,2,0,1,0,audi 5000s (diesel)
3.3,3.3,30,4,1.46,0.67,3.25,21.8,80,1,2,0,1,0,mercedes-benz 240d
2.2,2.2,44.6,4,0.91,0.67,1.85,13.8,80,1,3,0,0,1,honda civic 1500 gl
3.0,3.0,33.8,4,0.97,0.67,2.145,18,80,1,3,0,0,1,subaru dl
3.4,3.4,29.8,4,0.89,0.62,1.845,15.3,80,1,2,0,1,0,vokswagen rabbit
3.1,3.1,32.7,6,1.68,1.32,2.91,11.4,80,1,3,0,0,1,datsun 280-zx
4.2,4.2,23.7,3,0.7,1,2.42,12.5,80,1,3,0,0,1,mazda rx-7 gs
2.9,2.9,35,4,1.22,0.88,2.5,15.1,80,1,2,0,1,0,triumph tr7 coupe
3.1,3.1,32.4,4,1.07,0.72,2.29,17,80,1,3,0,0,1,honda accord
3.7,3.7,27.2,4,1.35,0.84,2.49,15.7,81,1,1,1,0,0,plymouth reliant
3.8,3.8,26.6,4,1.51,0.84,2.635,16.4,81,1,1,1,0,0,buick skylark
3.9,3.9,25.8,4,1.56,0.92,2.62,14.4,81,1,1,1,0,0,dodge aries wagon (sw)
4.3,4.3,23.5,6,1.73,1.1,2.725,12.6,81,1,1,1,0,0,chevrolet citation
3.3,3.3,30,4,1.35,0.84,2.385,12.9,81,1,1,1,0,0,plymouth reliant
2.6,2.6,39.1,4,0.79,0.58,1.755,16.9,81,1,3,0,0,1,toyota starlet
2.6,2.6,39,4,0.86,0.64,1.875,16.4,81,1,1,1,0,0,plymouth champ
2.8,2.8,35.1,4,0.81,0.6,1.76,16.1,81,1,3,0,0,1,honda civic 1300
3.1,3.1,32.3,4,0.97,0.67,2.065,17.8,81,1,3,0,0,1,subaru
2.7,2.7,37,4,0.85,0.65,1.975,19.4,81,1,3,0,0,1,datsun 210 mpg
2.7,2.7,37.7,4,0.89,0.62,2.05,17.3,81,1,3,0,0,1,toyota tercel
2.9,2.9,34.1,4,0.91,0.68,1.985,16,81,1,3,0,0,1,mazda glc 4
2.9,2.9,34.7,4,1.05,0.63,2.215,14.9,81,1,1,1,0,0,plymouth horizon 4
2.9,2.9,34.4,4,0.98,0.65,2.045,16.2,81,1,1,1,0,0,ford escort 4w
3.3,3.3,29.9,4,0.98,0.65,2.38,20.7,81,1,1,1,0,0,ford escort 2h
3.0,3.0,33,4,1.05,0.74,2.19,14.2,81,1,2,0,1,0,volkswagen jetta
3.0,3.0,33.7,4,1.07,0.75,2.21,14.4,81,1,3,0,0,1,honda prelude
3.1,3.1,32.4,4,1.08,0.75,2.35,16.8,81,1,3,0,0,1,toyota corolla
3.0,3.0,32.9,4,1.19,1,2.615,14.8,81,1,3,0,0,1,datsun 200sx
3.2,3.2,31.6,4,1.2,0.74,2.635,18.3,81,1,3,0,0,1,mazda 626
3.6,3.6,28.1,4,1.41,0.8,3.23,20.4,81,1,2,0,1,0,peugeot 505s turbo diesel
3.3,3.3,30.7,6,1.45,0.76,3.16,19.6,81,1,2,0,1,0,volvo diesel
3.9,3.9,25.4,6,1.68,1.16,2.9,12.6,81,1,3,0,0,1,toyota cressida
4.1,4.1,24.2,6,1.46,1.2,2.93,13.8,81,1,3,0,0,1,datsun 810 maxima
4.5,4.5,22.4,6,2.31,1.1,3.415,15.8,81,1,1,1,0,0,buick century
3.8,3.8,26.6,8,3.5,1.05,3.725,19,81,1,1,1,0,0,oldsmobile cutlass ls
5.0,5.0,20.2,6,2,0.88,3.06,17.1,81,1,1,1,0,0,ford granada gl
5.7,5.7,17.6,6,2.25,0.85,3.465,16.6,81,1,1,1,0,0,chrysler lebaron salon
3.6,,28,4,1.12,0.88,2.605,19.6,82,0,1,1,0,0,chevrolet cavalier
3.7,,27,4,1.12,0.88,2.64,18.6,82,0,1,1,0,0,chevrolet cavalier wagon
2.9,,34,4,1.12,0.88,2.395,18,82,0,1,1,0,0,chevrolet cavalier 2-door
3.2,,31,4,1.12,0.85,2.575,16.2,82,0,1,1,0,0,pontiac j2000 se hatchback
3.4,,29,4,1.35,0.84,2.525,16,82,0,1,1,0,0,dodge aries se
3.7,,27,4,1.51,0.9,2.735,18,82,0,1,1,0,0,pontiac phoenix
4.2,,24,4,1.4,0.92,2.865,16.4,82,0,1,1,0,0,ford fairmont futura
2.8,,36,4,1.05,0.74,1.98,15.3,82,0,2,0,1,0,volkswagen rabbit l
2.7,,37,4,0.91,0.68,2.025,18.2,82,0,3,0,0,1,mazda glc custom l
3.2,,31,4,0.91,0.68,1.97,17.6,82,0,3,0,0,1,mazda glc custom
2.6,,38,4,1.05,0.63,2.125,14.7,82,0,1,1,0,0,plymouth horizon miser
2.8,,36,4,0.98,0.7,2.125,17.3,82,0,1,1,0,0,mercury lynx l
2.8,,36,4,1.2,0.88,2.16,14.5,82,0,3,0,0,1,nissan stanza xe
2.8,,36,4,1.07,0.75,2.205,14.5,82,0,3,0,0,1,honda accord
2.9,,34,4,1.08,0.7,2.245,16.9,82,0,3,0,0,1,toyota corolla
2.6,,38,4,0.91,0.67,1.965,15,82,0,3,0,0,1,honda civic
3.1,,32,4,0.91,0.67,1.965,15.7,82,0,3,0,0,1,honda civic (auto)
2.6,,38,4,0.91,0.67,1.995,16.2,82,0,3,0,0,1,datsun 310 gx
4.0,,25,6,1.81,1.1,2.945,16.4,82,0,1,1,0,0,buick century limited
2.6,,38,6,2.62,0.85,3.015,17,82,0,1,1,0,0,oldsmobile cutlass ciera (diesel)
3.8,,26,4,1.56,0.92,2.585,14.5,82,0,1,1,0,0,chrysler lebaron medallion
4.5,,22,6,2.32,1.12,2.835,14.7,82,0,1,1,0,0,ford granada l
3.1,,32,4,1.44,0.96,2.665,13.9,82,0,3,0,0,1,toyota celica gt
2.8,,36,4,1.35,0.84,2.37,13,82,0,1,1,0,0,dodge charger 2.2
3.7,,27,4,1.51,0.9,2.95,17.3,82,0,1,1,0,0,chevrolet camaro
3.7,,27,4,1.4,0.86,2.79,15.6,82,0,1,1,0,0,ford mustang gl
2.3,,44,4,0.97,0.52,2.13,24.6,82,0,2,0,1,0,vw pickup
3.1,,32,4,1.35,0.84,2.295,11.6,82,0,1,1,0,0,dodge rampage
3.6,,28,4,1.2,0.79,2.625,18.6,82,0,1,1,0,0,ford ranger
3.2,,31,4,1.19,0.82,2.72,19.4,82,0,1,1,0,0,chevy s-10
Descriptive Statistics,Series plots,,,,,,,,,,,,,,,,,,,,,Observation #,20.000,,12/14/18 1:34 PM on FACDS414 - Series plots - AutoMPGdata.xlsx - RegressItPC - Version ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/14/18 1:34 PM on FACDS414 - Series plots - AutoMPGdata.xlsx - RegressItPC - Version 
Variable      ,# Fitted,Mean,Median,Std.Dev.,Root.M.Sqr.,Std.Err.Mean,Minimum,Maximum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPG,392,23.446,22.750,7.805,24.708,0.394,9.000,46.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Displacement100ci,392,1.944,1.510,1.046,2.207,0.053,0.680,4.550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GallonsPer100Miles,392,4.782,4.396,1.664,5.063,0.084,2.146,11.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horsepower100,392,1.045,0.935,0.385,1.113,0.019,0.460,2.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seconds0to60,392,15.541,15.500,2.759,15.784,0.139,8.000,24.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight1000lb,392,2.978,2.804,0.849,3.096,0.043,1.613,5.140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,392,75.980,76.000,3.684,76.069,0.186,70.000,82.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Series Plots,,Low-res picture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,









.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,









.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,









.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,









.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,









.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,









.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,










Correlation Matrix (n=392),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
